Date,actual,Cetop,forecast,StdErrP,StdErrM,tcm1y,EG,cci,Base,Full,Mean,MeanP,MeanM,Full_init
2024-06-01,5513.5,5513.5,5513.5,5513.5,5513.5,5513.5,5513.5,5513.5,5513.5,5513.5,5513.5,1.001,5513.5,5513.5
2024-07-01,5489.28,5489.28,5489.28,5489.28,5489.28,5489.28,5489.28,5489.28,5489.28,5489.28,5489.28,1.001,5489.28,5489.28
2024-08-01,5615.65,5615.65,5615.65,5615.65,5615.65,5615.65,5615.65,5615.65,5615.65,5615.65,5615.65,1.001,5615.65,5615.65
2024-09-01,5733.57,5733.57,5733.57,5733.57,5733.57,5733.57,5733.57,5733.57,5733.57,5733.57,5733.57,1.001,5733.57,5733.57
2024-10-01,5862.78,5862.78,5862.78,5862.78,5862.78,5862.78,5862.78,5862.78,5862.78,5862.78,5862.78,1.001,5862.78,5862.78
2024-11-01,5947.58,5947.58,5947.58,5947.58,5947.58,5947.58,5947.58,5947.58,5947.58,5947.58,5947.58,1.001,5947.58,5947.58
2024-12-01,5866.58,5866.58,5866.58,5866.58,5866.58,5866.58,5866.58,5866.58,5866.58,5866.58,5866.58,1.001,5866.58,5866.58
2025-01-01,NaN,5896.16307,4000.01,6029.999923,5643.377633,5842.848909,5810.436973,5853.79651,5835.109685,5836.688778,5910.232483,1.0075,5763.738895,5835.109685
2025-02-01,NaN,5932.134293,4000.01,6083.850669,5471.973314,5774.560454,5733.165754,5814.667991,5771.955488,5777.911992,5956.611172,1.0147,5713.401922,5771.955488
2025-03-01,NaN,5968.345324,4000.01,6094.578848,5350.770924,5709.780846,5661.657615,5777.691718,5712.639972,5722.674886,6002.727228,1.0219,5697.472226,5712.639972
2025-04-01,NaN,6104.316547,4000.01,6190.274767,5350.67079,5752.552592,5693.3327,5844.990031,5759.197834,5770.472778,6049.586085,1.0291,5688.505411,5759.197834
2025-05-01,NaN,6240.047962,4000.01,6279.818913,5373.663437,5803.446165,5732.97533,5920.425232,5813.528037,5826.741175,6097.978042,1.0363,5678.570454,5813.528037
2025-06-01,NaN,6376.019185,4000.01,6374.247991,5417.719485,5871.684774,5787.893993,6009.102555,5884.247917,5895.983738,6146.576099,1.0435,5670.157621,5884.247917
2025-07-01,NaN,6505.275779,4000.01,6344.107695,5371.049081,5950.777631,5742.422169,6103.037531,5964.422885,5857.578388,6195.203899,1.0507,5665.260292,5964.422885
2025-08-01,NaN,6634.292566,4000.01,6419.940935,5430.732053,6039.172087,5799.676496,6202.703185,6052.128209,5925.336494,6245.264907,1.0579,5657.158967,6052.128209
2025-09-01,NaN,6763.549161,4000.01,6495.08107,5499.573131,6137.940859,5861.462388,6309.250426,6148.483488,5997.3271,6296.565903,1.0651,5648.622456,6148.483488
2025-10-01,NaN,6811.7506,4000.01,6510.169202,5523.360006,6170.837591,5871.159802,6345.935881,6177.500414,6016.764604,6348.056309,1.0723,5644.626854,6177.500414
2025-11-01,NaN,6860.191847,4000.01,6536.075651,5546.544018,6198.658244,5885.89953,6376.345151,6201.061295,6041.309835,6400.280471,1.0795,5644.207431,6201.061295
2025-12-01,NaN,6908.393285,4000.01,6577.416998,5569.731437,6217.725469,5905.833812,6399.117085,6215.456043,6073.574217,6452.840795,1.0867,5646.471473,6215.456043