0.182594903,3.277599078,0.966675362,99.4981407,0.631676828,5.463343704,-0.62643005,-5.460519364,0.273259712,7.625936798,-0.238268117,-6.497865899,-0.243871342,-6.245467111,0.209090955,5.363544107,0.978431971,0.187057479,0.033120002,1
0.476385903,5.351430041,0.913509996,58.84865965,0.823940094,7.446059627,-0.803063484,-7.355893976,0.284399469,8.711758269,-0.204823872,-6.011834126,-0.341776382,-7.524110095,0.251421241,5.516579734,0.944594954,0.299053014,0.052949695,1
0.767911229,7.037661677,0.860609954,45.23538286,0.939242571,9.081330253,-0.903934376,-8.889883701,0.299859512,9.807426312,-0.179207999,-5.548686902,-0.400702355,-8.211213,0.254762972,5.175207884,0.915883021,0.367042582,0.064987784,1
1.031959232,8.458214465,0.812452551,38.19068659,0.995472917,10.41888689,-0.950718761,-10.13593174,0.304861022,10.31348145,-0.147975103,-4.710158484,-0.444160956,-8.950530634,0.247792028,4.926682891,0.893385299,0.410882661,0.072750016,1
1.269905952,9.753287342,0.768832994,33.86236305,1.019853869,11.54650082,-0.967324276,-11.15407646,0.311997553,10.76980799,-0.120063052,-3.90800993,-0.488179389,-9.859463426,0.241011285,4.75701243,0.876355366,0.439169041,0.077758343,1
1.454430755,10.71663233,0.734789839,31.04171512,1.000801628,12.17215304,-0.943905916,-11.67787427,0.324009867,11.21802917,-0.096158869,-3.18783448,-0.516140541,-10.48914707,0.227013514,4.454545367,0.863420259,0.458138052,0.081116956,1
1.589896225,11.43577039,0.709409759,29.24847235,0.942243977,12.22632383,-0.885194987,-11.66832435,0.348747913,12.03514196,-0.08122538,-2.736918168,-0.527525817,-10.61579271,0.207823903,4.001306613,0.854659254,0.469111001,0.083059803,1
1.702451984,12.1570794,0.687929809,28.15004318,0.86587629,12.05530739,-0.812865951,-11.50094317,0.382292371,13.11265612,-0.067362246,-2.312126749,-0.539323972,-10.98940899,0.194820283,3.761642259,0.850535372,0.471443566,0.083472802,1
1.790661542,12.80229769,0.670620108,27.46450903,0.786602977,11.79917453,-0.741148848,-11.32661066,0.423815822,14.32486078,-0.05256043,-1.834533722,-0.552119156,-11.65616629,0.188616263,3.718131526,0.849312867,0.46875047,0.082995968,1
1.857590116,13.37133057,0.657205751,27.08629019,0.721311296,11.60894423,-0.685562312,-11.26863032,0.469131459,15.60016885,-0.034746464,-1.228563065,-0.574490769,-12.66750985,0.194865194,3.958544746,0.850376551,0.463153438,0.08200497,1
1.939829709,13.92601314,0.641106204,26.34070996,0.67274602,11.35846098,-0.646863235,-11.1809651,0.502863635,16.29636551,-0.017180974,-0.603398964,-0.582969269,-13.17796655,0.187954367,3.885399725,0.847895164,0.462544262,0.08189711,1
2.04778095,14.48059194,0.620411578,25.09865892,0.65429522,11.34140953,-0.638127569,-11.33167813,0.520046182,16.38726809,-0.006604213,-0.225997995,-0.592650755,-13.47996427,0.177556705,3.686625778,0.840718628,0.468527857,0.082956553,1